"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","loss"
"52",2000,1000,"sgd",10,128,"cuda",TRUE,1000,4,FALSE,0.617737531661987,0.664563894271851,0.71471905708313,0.760030269622803,0.806667327880859,0.857809066772461,0.90308690071106,0.948342800140381,0.999316930770874,1.04417562484741,977.531555175781
"53",2000,1000,"adam",10,16,"cuda",TRUE,1000,4,FALSE,1.7211639881134,2.86388230323792,3.94432759284973,5.01667475700378,6.10174584388733,7.24772572517395,8.29718971252441,9.35574626922607,10.4202785491943,11.5525169372559,38.2723541259766
"54",2000,1000,"sgd",10,16,"cuda",TRUE,1000,4,FALSE,0.90644097328186,1.27624893188477,1.64556622505188,2.02109813690186,2.41015410423279,2.78726863861084,3.15719866752625,3.525141954422,3.89705300331116,4.2717068195343,367.103302001953
"55",2000,1000,"adam",10,1024,"cuda",FALSE,1000,4,FALSE,0.113738059997559,0.137504100799561,0.155855417251587,0.175170660018921,0.194370746612549,0.213481903076172,0.232320070266724,0.257971525192261,0.275962114334106,0.293922662734985,99.1700592041016
"56",2000,1000,"sgd",10,1024,"cuda",FALSE,1000,4,FALSE,0.0815565586090088,0.0899746417999268,0.0983819961547852,0.107451438903809,0.115813016891479,0.124910593032837,0.133223533630371,0.141990423202515,0.150949001312256,0.159284114837646,947.286010742188
"57",2000,1000,"adam",10,128,"cuda",FALSE,1000,4,FALSE,0.276298046112061,0.427775621414185,0.579041957855225,0.731031656265259,0.878440618515015,1.03117966651917,1.17589497566223,1.33255839347839,1.48014831542969,1.63337373733521,459.990631103516
"58",2000,1000,"sgd",10,128,"cuda",FALSE,1000,4,FALSE,0.147139310836792,0.210279226303101,0.262528419494629,0.322273731231689,0.383087873458862,0.435671806335449,0.495023012161255,0.54700493812561,0.599332571029663,0.658681154251099,1002.3798828125
"59",2000,1000,"adam",10,16,"cuda",FALSE,1000,4,FALSE,1.2583122253418,2.42383718490601,3.57711863517761,4.75101637840271,5.95697736740112,7.17492318153381,8.29164004325867,9.42818832397461,10.5674474239349,11.7683382034302,31.307315826416
"60",2000,1000,"sgd",10,16,"cuda",FALSE,1000,4,FALSE,0.577044010162354,1.03562068939209,1.50446915626526,1.98772311210632,2.4547119140625,2.93911600112915,3.39952278137207,3.86603450775146,4.33060479164124,4.79929995536804,729.288208007812
"61",2000,1000,"adam",10,1024,"cuda",TRUE,500,4,FALSE,0.193264484405518,0.697965145111084,0.715381622314453,0.733718395233154,0.751883268356323,0.769903898239136,0.787523746490479,0.805365324020386,0.828119516372681,0.844577550888062,72.7438507080078
"62",2000,1000,"sgd",10,1024,"cuda",TRUE,500,4,FALSE,0.143450736999512,0.63850474357605,0.644847393035889,0.650940656661987,0.656955480575562,0.663384437561035,0.669411182403564,0.675808906555176,0.681895017623901,0.687973022460938,947.344604492188
"63",2000,1000,"adam",10,128,"cuda",TRUE,500,4,FALSE,0.743752717971802,0.88239860534668,1.01465439796448,1.14646935462952,1.27841258049011,1.41053247451782,1.54209589958191,1.69228911399841,1.82448744773865,1.95753359794617,40.3842964172363
"64",2000,1000,"sgd",10,128,"cuda",TRUE,500,4,FALSE,0.623772621154785,0.66899299621582,0.717752456665039,0.76122260093689,0.805894374847412,0.85538911819458,0.898611068725586,0.942097187042236,0.990901708602905,1.0336639881134,1046.12292480469
"65",2000,1000,"adam",10,16,"cuda",TRUE,500,4,FALSE,1.63379526138306,2.7364935874939,3.83890056610107,4.92554759979248,5.99104452133179,7.11563634872437,8.14357542991638,9.17444252967834,10.2343230247498,11.3449845314026,33.8510246276855
