n,p,optimizer,epochs,batch_size,device,jit,latent,n_layers,time
2000,500,adam,20,256,cpu,False,1000,20,9.81169319152832
2000,500,adam,20,256,cuda,True,100,1,0.34272146224975586
2000,500,adam,20,256,cuda,True,100,10,0.5099010467529297
2000,500,adam,20,256,cuda,True,100,20,0.702115535736084
2000,500,adam,20,256,cuda,True,1000,1,0.42783403396606445
2000,500,adam,20,256,cuda,True,1000,10,0.5070369243621826
2000,500,adam,20,256,cuda,True,1000,20,1.081566572189331
2000,500,adam,20,256,cuda,False,100,1,0.3412165641784668
2000,500,adam,20,256,cuda,False,100,10,0.525146484375
2000,500,adam,20,256,cuda,False,100,20,0.7286772727966309
2000,500,adam,20,256,cuda,False,1000,1,0.4260871410369873
2000,500,adam,20,256,cuda,False,1000,10,0.5222387313842773
2000,500,adam,20,256,cuda,False,1000,20,1.0765197277069092
2000,500,adam,20,512,cpu,True,100,1,0.3193066120147705
2000,500,adam,20,512,cpu,True,100,10,0.6190171241760254
2000,500,adam,20,512,cpu,True,100,20,1.0138523578643799
2000,500,adam,20,512,cpu,True,1000,1,0.38958191871643066
2000,500,adam,20,512,cpu,True,1000,10,3.6449527740478516
2000,500,adam,20,512,cpu,True,1000,20,7.174317359924316
2000,500,adam,20,512,cpu,False,100,1,0.33277416229248047
2000,500,adam,20,512,cpu,False,100,10,0.6993660926818848
2000,500,adam,20,512,cpu,False,100,20,0.9577710628509521
2000,500,adam,20,512,cpu,False,1000,1,0.3924589157104492
2000,500,adam,20,512,cpu,False,1000,10,3.5987348556518555
2000,500,adam,20,512,cpu,False,1000,20,7.223253965377808
2000,500,adam,20,512,cuda,True,100,1,0.2766425609588623
2000,500,adam,20,512,cuda,True,100,10,0.3558833599090576
2000,500,adam,20,512,cuda,True,100,20,0.4513876438140869
2000,500,adam,20,512,cuda,True,1000,1,0.34904026985168457
2000,500,adam,20,512,cuda,True,1000,10,0.3584251403808594
2000,500,adam,20,512,cuda,True,1000,20,0.7067973613739014
2000,500,adam,20,512,cuda,False,100,1,0.34807682037353516
2000,500,adam,20,512,cuda,False,100,10,0.36077356338500977
2000,500,adam,20,512,cuda,False,100,20,0.46837353706359863
2000,500,adam,20,512,cuda,False,1000,1,0.2698948383331299
2000,500,adam,20,512,cuda,False,1000,10,0.4391155242919922
2000,500,adam,20,512,cuda,False,1000,20,0.7021257877349854
2000,500,sgd,20,16,cpu,True,100,1,1.552288293838501
2000,500,sgd,20,16,cpu,True,100,10,3.4414005279541016
2000,500,sgd,20,16,cpu,True,100,20,5.5640740394592285
2000,500,sgd,20,16,cpu,True,1000,1,2.214113235473633
2000,500,sgd,20,16,cpu,True,1000,10,20.549808979034424
2000,500,sgd,20,16,cpu,True,1000,20,91.40128684043884
2000,500,sgd,20,16,cpu,False,100,1,1.5724964141845703
2000,500,sgd,20,16,cpu,False,100,10,3.673672676086426
2000,500,sgd,20,16,cpu,False,100,20,5.842101573944092
2000,500,sgd,20,16,cpu,False,1000,1,2.1153342723846436
2000,500,sgd,20,16,cpu,False,1000,10,24.104248523712158
2000,500,sgd,20,16,cpu,False,1000,20,92.74637293815613
2000,500,sgd,20,16,cuda,True,100,1,1.586958885192871
2000,500,sgd,20,16,cuda,True,100,10,3.6757595539093018
2000,500,sgd,20,16,cuda,True,100,20,6.570422410964966
2000,500,sgd,20,16,cuda,True,1000,1,1.6583290100097656
2000,500,sgd,20,16,cuda,True,1000,10,4.119769811630249
2000,500,sgd,20,16,cuda,True,1000,20,7.368204355239868
2000,500,sgd,20,16,cuda,False,100,1,1.5828924179077148
2000,500,sgd,20,16,cuda,False,100,10,3.91880202293396
2000,500,sgd,20,16,cuda,False,100,20,7.038805723190308
2000,500,sgd,20,16,cuda,False,1000,1,1.6727774143218994
2000,500,sgd,20,16,cuda,False,1000,10,4.433979511260986
2000,500,sgd,20,16,cuda,False,1000,20,7.909756660461426
2000,500,sgd,20,256,cpu,True,100,1,0.3778078556060791
2000,500,sgd,20,256,cpu,True,100,10,0.6881687641143799
2000,500,sgd,20,256,cpu,True,100,20,1.1271655559539795
2000,500,sgd,20,256,cpu,True,1000,1,0.44147229194641113
2000,500,sgd,20,256,cpu,True,1000,10,3.430588960647583
2000,500,sgd,20,256,cpu,True,1000,20,8.438389778137207
2000,500,sgd,20,256,cpu,False,100,1,0.37194156646728516
2000,500,sgd,20,256,cpu,False,100,10,0.6912298202514648
2000,500,sgd,20,256,cpu,False,100,20,1.129971981048584
2000,500,sgd,20,256,cpu,False,1000,1,0.4383683204650879
2000,500,sgd,20,256,cpu,False,1000,10,3.609290599822998
2000,500,sgd,20,256,cpu,False,1000,20,8.672476530075073
2000,500,sgd,20,256,cuda,True,100,1,0.3257431983947754
2000,500,sgd,20,256,cuda,True,100,10,0.4671487808227539
2000,500,sgd,20,256,cuda,True,100,20,0.6381967067718506
