"n","p","epochs","batch_size","device","jit","latent","n_layers","Python","R","ratio"
2000,100,20,16,"cuda",TRUE,500,1,2.74059271812439,12.04452085495,4.39485983280035
2000,100,20,16,"cuda",TRUE,500,5,4.39280033111572,23.8659379482269,5.4329667067215
2000,100,20,16,"cuda",TRUE,500,10,6.18116664886475,41.2414991855621,6.67212219446254
2000,100,20,16,"cuda",TRUE,1000,1,2.7577691078186,10.6885812282562,3.87580715077009
2000,100,20,16,"cuda",TRUE,1000,5,4.55367612838745,24.6093783378601,5.40428823746294
2000,100,20,16,"cuda",TRUE,1000,10,6.39180946350098,40.1250381469727,6.27757106592396
2000,100,20,128,"cpu",FALSE,100,1,0.493581771850586,1.6692271232605,3.38186541411784
2000,100,20,128,"cpu",FALSE,100,5,0.846700668334961,3.67323970794678,4.33829787234043
2000,100,20,128,"cpu",FALSE,100,10,1.26811981201172,6.68480086326599,5.27142687934302
2000,100,20,128,"cpu",FALSE,500,1,0.576183080673218,2.07944178581238,3.60899487604312
2000,100,20,128,"cpu",FALSE,500,5,1.68988871574402,6.8792839050293,4.07085025240879
2000,100,20,128,"cpu",FALSE,500,10,3.11453723907471,12.9234304428101,4.14939024670307
2000,100,20,128,"cpu",FALSE,1000,1,0.592713832855225,2.22649073600769,3.75643457700696
2000,100,20,128,"cpu",FALSE,1000,5,3.17242240905762,11.8668854236603,3.74063850695892
2000,100,20,128,"cpu",FALSE,1000,10,7.47351384162903,21.670348405838,2.89961975919943
2000,100,20,128,"cpu",TRUE,100,1,0.507716417312622,1.91722130775452,3.77616567512728
2000,100,20,128,"cpu",TRUE,100,5,1.04500436782837,3.80014634132385,3.63648847633141
2000,100,20,128,"cpu",TRUE,100,10,1.30215167999268,6.98289632797241,5.36258289664971
2000,100,20,128,"cpu",TRUE,500,1,0.578174591064453,2.1650218963623,3.74458153267574
2000,100,20,128,"cpu",TRUE,500,5,1.70882749557495,9.09476709365845,5.32222656599895
2000,100,20,128,"cpu",TRUE,500,10,3.19230771064758,19.4946801662445,6.10676724590872
2000,100,20,128,"cpu",TRUE,1000,1,0.593546390533447,2.29033970832825,3.85873748852186
2000,100,20,128,"cpu",TRUE,1000,5,3.28359341621399,21.9082384109497,6.67203141009159
2000,100,20,128,"cpu",TRUE,1000,10,7.10161805152893,52.7336494922638,7.42558232639822
2000,100,20,128,"cuda",FALSE,100,1,0.565947294235229,1.56676292419434,2.76839016663473
2000,100,20,128,"cuda",FALSE,100,5,0.747856378555298,3.30207133293152,4.4153816529725
2000,100,20,128,"cuda",FALSE,100,10,0.957979202270508,5.7665958404541,6.01954178836731
2000,100,20,128,"cuda",FALSE,500,1,0.56995701789856,1.54109668731689,2.70388229098211
2000,100,20,128,"cuda",FALSE,500,5,0.768623352050781,3.32298874855042,4.32329923321257
2000,100,20,128,"cuda",FALSE,500,10,1.01091718673706,6.18724155426025,6.12042374532262
2000,100,20,128,"cuda",FALSE,1000,1,0.575069904327393,1.77183365821838,3.08107526560746
2000,100,20,128,"cuda",FALSE,1000,5,0.769848823547363,3.29714369773865,4.28284566643337
2000,100,20,128,"cuda",FALSE,1000,10,1.01505613327026,6.04721164703369,5.9575145145432
2000,100,20,128,"cuda",TRUE,100,1,0.541515588760376,2.09655380249023,3.87164071728684
2000,100,20,128,"cuda",TRUE,100,5,0.724007368087769,3.463782787323,4.7841816810117
2000,100,20,128,"cuda",TRUE,100,10,0.93141508102417,5.68649506568909,6.10522116459217
2000,100,20,128,"cuda",TRUE,500,1,0.558184146881104,1.9022536277771,3.4079320210115
2000,100,20,128,"cuda",TRUE,500,5,0.746920585632324,3.51985216140747,4.71248514114476
2000,100,20,128,"cuda",TRUE,500,10,0.956337451934814,5.98352217674255,6.25670589877766
2000,100,20,128,"cuda",TRUE,1000,1,0.565755128860474,1.84703946113586,3.26473303893172
2000,100,20,128,"cuda",TRUE,1000,5,0.748629331588745,3.58264589309692,4.78560716488868
2000,100,20,128,"cuda",TRUE,1000,10,0.960964918136597,5.7982964515686,6.03382739799914
2000,100,20,256,"cpu",FALSE,100,1,0.362518548965454,1.02004933357239,2.81378521591069
2000,100,20,256,"cpu",FALSE,100,5,0.65422797203064,2.06897974014282,3.16247520527282
2000,100,20,256,"cpu",FALSE,100,10,0.813424348831177,3.56144213676453,4.37833234508166
2000,100,20,256,"cpu",FALSE,500,1,0.400752067565918,1.25523376464844,3.13219535527904
2000,100,20,256,"cpu",FALSE,500,5,1.08817958831787,4.07902956008911,3.7484893154397
