"","n","p","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"134",2000,250,20,256,"cpu",FALSE,100,3,FALSE,1.67128992080688
"135",2000,500,20,256,"cpu",FALSE,100,3,FALSE,1.86251640319824
"136",2000,100,20,16,"cuda",FALSE,100,3,FALSE,17.8004620075226
"137",2000,250,20,16,"cuda",FALSE,100,3,FALSE,17.8571152687073
"138",2000,500,20,16,"cuda",FALSE,100,3,FALSE,17.7301526069641
"139",2000,100,20,128,"cuda",FALSE,100,3,FALSE,2.30155563354492
"140",2000,250,20,128,"cuda",FALSE,100,3,FALSE,2.37229919433594
"141",2000,500,20,128,"cuda",FALSE,100,3,FALSE,2.37791919708252
"142",2000,100,20,256,"cuda",FALSE,100,3,FALSE,1.2432222366333
"143",2000,250,20,256,"cuda",FALSE,100,3,FALSE,1.22585725784302
"144",2000,500,20,256,"cuda",FALSE,100,3,FALSE,1.23883605003357
"145",2000,100,20,16,"cpu",TRUE,500,3,FALSE,30.412810087204
"146",2000,250,20,16,"cpu",TRUE,500,3,FALSE,34.5730800628662
"147",2000,500,20,16,"cpu",TRUE,500,3,FALSE,42.3680775165558
"148",2000,100,20,128,"cpu",TRUE,500,3,FALSE,4.71948528289795
"149",2000,250,20,128,"cpu",TRUE,500,3,FALSE,5.38681292533875
"150",2000,500,20,128,"cpu",TRUE,500,3,FALSE,6.63659715652466
"151",2000,100,20,256,"cpu",TRUE,500,3,FALSE,3.00704908370972
"152",2000,250,20,256,"cpu",TRUE,500,3,FALSE,2.96641087532043
"153",2000,500,20,256,"cpu",TRUE,500,3,FALSE,3.75274872779846
"154",2000,100,20,16,"cuda",TRUE,500,3,FALSE,17.2958571910858
"155",2000,250,20,16,"cuda",TRUE,500,3,FALSE,17.7856185436249
"156",2000,500,20,16,"cuda",TRUE,500,3,FALSE,17.6775743961334
"157",2000,100,20,128,"cuda",TRUE,500,3,FALSE,2.70365762710571
"158",2000,250,20,128,"cuda",TRUE,500,3,FALSE,2.66493797302246
