"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time1","time2","loss"
"119",2000,500,"adam",40,512,"cuda",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"120",2000,500,"sgd",40,512,"cuda",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"121",2000,500,"adam",20,16,"cpu",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"122",2000,500,"sgd",20,16,"cpu",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"123",2000,500,"adam",40,16,"cpu",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"124",2000,500,"sgd",40,16,"cpu",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"125",2000,500,"adam",20,256,"cpu",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"126",2000,500,"sgd",20,256,"cpu",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"127",2000,500,"adam",40,256,"cpu",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"128",2000,500,"sgd",40,256,"cpu",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"129",2000,500,"adam",20,512,"cpu",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"130",2000,500,"sgd",20,512,"cpu",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"131",2000,500,"adam",40,512,"cpu",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"132",2000,500,"sgd",40,512,"cpu",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"133",2000,500,"adam",20,16,"cuda",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"134",2000,500,"sgd",20,16,"cuda",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"135",2000,500,"adam",40,16,"cuda",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"136",2000,500,"sgd",40,16,"cuda",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"137",2000,500,"adam",20,256,"cuda",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"138",2000,500,"sgd",20,256,"cuda",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"139",2000,500,"adam",40,256,"cuda",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"140",2000,500,"sgd",40,256,"cuda",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"141",2000,500,"adam",20,512,"cuda",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"142",2000,500,"sgd",20,512,"cuda",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
