"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"104",2000,500,"sgd",40,256,"cpu",TRUE,100,10,FALSE,3.67796730995178
"105",2000,500,"adam",20,512,"cpu",TRUE,100,10,FALSE,2.90961408615112
"106",2000,500,"sgd",20,512,"cpu",TRUE,100,10,FALSE,1.67608737945557
"107",2000,500,"adam",40,512,"cpu",TRUE,100,10,FALSE,4.88205242156982
"108",2000,500,"sgd",40,512,"cpu",TRUE,100,10,FALSE,2.50349712371826
"109",2000,500,"adam",20,16,"cuda",TRUE,100,10,FALSE,40.9384515285492
"110",2000,500,"sgd",20,16,"cuda",TRUE,100,10,FALSE,11.8432245254517
"111",2000,500,"adam",40,16,"cuda",TRUE,100,10,FALSE,81.0395562648773
"112",2000,500,"sgd",40,16,"cuda",TRUE,100,10,FALSE,22.6099963188171
"113",2000,500,"adam",20,256,"cuda",TRUE,100,10,FALSE,3.34171533584595
"114",2000,500,"sgd",20,256,"cuda",TRUE,100,10,FALSE,1.42467761039734
"115",2000,500,"adam",40,256,"cuda",TRUE,100,10,FALSE,6.00592541694641
"116",2000,500,"sgd",40,256,"cuda",TRUE,100,10,FALSE,2.22152709960938
"117",2000,500,"adam",20,512,"cuda",TRUE,100,10,FALSE,2.01550436019897
"118",2000,500,"sgd",20,512,"cuda",TRUE,100,10,FALSE,1.05329012870789
"119",2000,500,"adam",40,512,"cuda",TRUE,100,10,FALSE,3.31061291694641
"120",2000,500,"sgd",40,512,"cuda",TRUE,100,10,FALSE,1.44819569587708
"121",2000,500,"adam",20,16,"cpu",FALSE,100,10,FALSE,52.693939447403
"122",2000,500,"sgd",20,16,"cpu",FALSE,100,10,FALSE,15.002769947052
"123",2000,500,"adam",40,16,"cpu",FALSE,100,10,FALSE,112.102654218674
"124",2000,500,"sgd",40,16,"cpu",FALSE,100,10,FALSE,30.4789695739746
"125",2000,500,"adam",20,256,"cpu",FALSE,100,10,FALSE,4.03266859054565
"126",2000,500,"sgd",20,256,"cpu",FALSE,100,10,FALSE,1.61617612838745
"127",2000,500,"adam",40,256,"cpu",FALSE,100,10,FALSE,7.88574004173279
"128",2000,500,"sgd",40,256,"cpu",FALSE,100,10,FALSE,3.0980076789856
"129",2000,500,"adam",20,512,"cpu",FALSE,100,10,FALSE,2.3943395614624
"130",2000,500,"sgd",20,512,"cpu",FALSE,100,10,FALSE,1.2091600894928
"131",2000,500,"adam",40,512,"cpu",FALSE,100,10,FALSE,4.55388498306274
"132",2000,500,"sgd",40,512,"cpu",FALSE,100,10,FALSE,2.22129726409912
"133",2000,500,"adam",20,16,"cuda",FALSE,100,10,FALSE,43.8087577819824
"134",2000,500,"sgd",20,16,"cuda",FALSE,100,10,FALSE,15.3440549373627
"135",2000,500,"adam",40,16,"cuda",FALSE,100,10,FALSE,87.9984352588654
"136",2000,500,"sgd",40,16,"cuda",FALSE,100,10,FALSE,29.3999516963959
