"n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","Python","R","n_batches"
2000,500,"adam",40,16,"cuda",TRUE,1000,20,25.1645514965057,152.23872923851,5000
2000,500,"adam",40,256,"cpu",FALSE,100,1,0.841844797134399,1.96733164787292,320
2000,500,"adam",40,256,"cpu",FALSE,100,10,1.92148566246033,7.88574004173279,320
2000,500,"adam",40,256,"cpu",FALSE,100,20,2.914217710495,14.5010004043579,320
2000,500,"adam",40,256,"cpu",FALSE,1000,1,0.977519035339355,3.45216917991638,320
2000,500,"adam",40,256,"cpu",FALSE,1000,10,10.3439996242523,30.7652015686035,320
2000,500,"adam",40,256,"cpu",FALSE,1000,20,20.0548603534698,64.1090624332428,320
2000,500,"adam",40,256,"cpu",TRUE,100,1,0.93465781211853,2.25227117538452,320
2000,500,"adam",40,256,"cpu",TRUE,100,10,1.91930770874023,8.63221406936646,320
2000,500,"adam",40,256,"cpu",TRUE,100,20,2.7668936252594,15.9911336898804,320
2000,500,"adam",40,256,"cpu",TRUE,1000,1,1.00690937042236,4.13890790939331,320
2000,500,"adam",40,256,"cpu",TRUE,1000,10,10.3852932453156,61.2160692214966,320
2000,500,"adam",40,256,"cpu",TRUE,1000,20,20.7730348110199,96.114025592804,320
2000,500,"adam",40,256,"cuda",FALSE,100,1,0.695958137512207,1.43074560165405,320
2000,500,"adam",40,256,"cuda",FALSE,100,10,1.14124989509583,5.96971321105957,320
2000,500,"adam",40,256,"cuda",FALSE,100,20,1.48907279968262,10.7681534290314,320
2000,500,"adam",40,256,"cuda",FALSE,1000,1,0.695138454437256,1.44860315322876,320
2000,500,"adam",40,256,"cuda",FALSE,1000,10,1.14657211303711,6.06947779655457,320
2000,500,"adam",40,256,"cuda",FALSE,1000,20,2.19667148590088,10.591334104538,320
2000,500,"adam",40,256,"cuda",TRUE,100,1,0.703587293624878,1.93254470825195,320
2000,500,"adam",40,256,"cuda",TRUE,100,10,1.11125922203064,6.00592541694641,320
2000,500,"adam",40,256,"cuda",TRUE,100,20,1.42133283615112,10.4066505432129,320
2000,500,"adam",40,256,"cuda",TRUE,1000,1,0.697646617889404,1.84832453727722,320
2000,500,"adam",40,256,"cuda",TRUE,1000,10,1.11554884910583,5.77213335037231,320
2000,500,"adam",40,256,"cuda",TRUE,1000,20,2.20008993148804,10.3728852272034,320
2000,500,"adam",40,512,"cpu",FALSE,100,1,0.655619144439697,1.12409353256226,160
2000,500,"adam",40,512,"cpu",FALSE,100,10,1.38783240318298,4.55388498306274,160
2000,500,"adam",40,512,"cpu",FALSE,100,20,2.05914974212646,8.57979321479797,160
2000,500,"adam",40,512,"cpu",FALSE,1000,1,0.806395769119263,2.03173446655273,160
2000,500,"adam",40,512,"cpu",FALSE,1000,10,7.44050693511963,20.0465316772461,160
2000,500,"adam",40,512,"cpu",FALSE,1000,20,14.8251738548279,37.6387515068054,160
2000,500,"adam",40,512,"cpu",TRUE,100,1,0.65835976600647,1.31179761886597,160
2000,500,"adam",40,512,"cpu",TRUE,100,10,1.31944751739502,4.88205242156982,160
2000,500,"adam",40,512,"cpu",TRUE,100,20,2.00463056564331,9.32926678657532,160
2000,500,"adam",40,512,"cpu",TRUE,1000,1,0.914998769760132,1.94112873077393,160
2000,500,"adam",40,512,"cpu",TRUE,1000,10,7.74299192428589,29.7148458957672,160
2000,500,"adam",40,512,"cpu",TRUE,1000,20,14.5435962677002,46.7363758087158,160
2000,500,"adam",40,512,"cuda",FALSE,100,1,0.552891969680786,0.766108512878418,160
2000,500,"adam",40,512,"cuda",FALSE,100,10,0.81550407409668,2.93172883987427,160
2000,500,"adam",40,512,"cuda",FALSE,100,20,0.956506252288818,5.52593445777893,160
2000,500,"adam",40,512,"cuda",FALSE,1000,1,0.556299686431885,0.771385192871094,160
2000,500,"adam",40,512,"cuda",FALSE,1000,10,0.82575511932373,2.92736101150513,160
2000,500,"adam",40,512,"cuda",FALSE,1000,20,1.47959637641907,6.42715644836426,160
2000,500,"adam",40,512,"cuda",TRUE,100,1,0.551310539245605,1.23699069023132,160
2000,500,"adam",40,512,"cuda",TRUE,100,10,0.816038131713867,3.31061291694641,160
2000,500,"adam",40,512,"cuda",TRUE,100,20,0.919542551040649,5.67811059951782,160
2000,500,"adam",40,512,"cuda",TRUE,1000,1,0.627584218978882,1.20615792274475,160
2000,500,"adam",40,512,"cuda",TRUE,1000,10,0.727126121520996,3.33867835998535,160
2000,500,"adam",40,512,"cuda",TRUE,1000,20,1.48498439788818,5.6996796131134,160
2000,500,"sgd",20,16,"cpu",FALSE,100,1,1.69178462028503,5.95665097236633,2500
2000,500,"sgd",20,16,"cpu",FALSE,100,10,3.9940345287323,15.002769947052,2500
2000,500,"sgd",20,16,"cpu",FALSE,100,20,6.47858023643494,25.0450792312622,2500
2000,500,"sgd",20,16,"cpu",FALSE,1000,1,2.26053094863892,9.22491359710693,2500
2000,500,"sgd",20,16,"cpu",FALSE,1000,10,22.3168077468872,62.461199760437,2500
2000,500,"sgd",20,16,"cpu",FALSE,1000,20,50.6591436862946,125.517494678497,2500
2000,500,"sgd",20,16,"cpu",TRUE,100,1,1.70434880256653,6.13556742668152,2500
2000,500,"sgd",20,16,"cpu",TRUE,100,10,3.80535674095154,12.4096853733063,2500
2000,500,"sgd",20,16,"cpu",TRUE,100,20,6.04387903213501,19.1438567638397,2500
2000,500,"sgd",20,16,"cpu",TRUE,1000,1,2.22953104972839,10.7462182044983,2500
2000,500,"sgd",20,16,"cpu",TRUE,1000,10,22.0362179279327,302.248022079468,2500
2000,500,"sgd",20,16,"cpu",TRUE,1000,20,47.5566291809082,446.922977924347,2500
2000,500,"sgd",20,16,"cuda",FALSE,100,1,1.55822491645813,5.12576532363892,2500
2000,500,"sgd",20,16,"cuda",FALSE,100,10,3.95740747451782,15.3440549373627,2500
2000,500,"sgd",20,16,"cuda",FALSE,100,20,7.00394439697266,26.0841047763824,2500
2000,500,"sgd",20,16,"cuda",FALSE,1000,1,1.66077756881714,5.27496743202209,2500
2000,500,"sgd",20,16,"cuda",FALSE,1000,10,4.45397710800171,15.3822782039642,2500
2000,500,"sgd",20,16,"cuda",FALSE,1000,20,7.89253497123718,28.9474363327026,2500
2000,500,"sgd",20,16,"cuda",TRUE,100,1,1.5578076839447,5.55959677696228,2500
2000,500,"sgd",20,16,"cuda",TRUE,100,10,3.65210270881653,11.8432245254517,2500
2000,500,"sgd",20,16,"cuda",TRUE,100,20,6.51034092903137,18.5188863277435,2500
2000,500,"sgd",20,16,"cuda",TRUE,1000,1,1.65810441970825,5.51771664619446,2500
2000,500,"sgd",20,16,"cuda",TRUE,1000,10,4.10546016693115,12.0412540435791,2500
2000,500,"sgd",20,16,"cuda",TRUE,1000,20,7.26483154296875,19.7740411758423,2500
2000,500,"sgd",20,256,"cpu",FALSE,100,1,0.380608081817627,0.662432432174683,160
2000,500,"sgd",20,256,"cpu",FALSE,100,10,0.70857572555542,1.61617612838745,160
2000,500,"sgd",20,256,"cpu",FALSE,100,20,1.08324956893921,2.67745399475098,160
2000,500,"sgd",20,256,"cpu",FALSE,1000,1,0.45806622505188,1.41390109062195,160
2000,500,"sgd",20,256,"cpu",FALSE,1000,10,3.98583769798279,9.33696603775024,160
2000,500,"sgd",20,256,"cpu",FALSE,1000,20,9.0682225227356,22.63822889328,160
2000,500,"sgd",20,256,"cpu",TRUE,100,1,0.375662088394165,0.854296922683716,160
2000,500,"sgd",20,256,"cpu",TRUE,100,10,0.717560291290283,2.32942342758179,160
2000,500,"sgd",20,256,"cpu",TRUE,100,20,1.04492449760437,4.15139937400818,160
2000,500,"sgd",20,256,"cpu",TRUE,1000,1,0.452803611755371,1.52995371818542,160
2000,500,"sgd",20,256,"cpu",TRUE,1000,10,3.60522389411926,22.8653795719147,160
2000,500,"sgd",20,256,"cpu",TRUE,1000,20,9.02580094337463,31.2003908157349,160
2000,500,"sgd",20,256,"cuda",FALSE,100,1,0.32163667678833,0.431542873382568,160
2000,500,"sgd",20,256,"cuda",FALSE,100,10,0.477363586425781,1.08552765846252,160
2000,500,"sgd",20,256,"cuda",FALSE,100,20,0.664511680603027,1.76318526268005,160
2000,500,"sgd",20,256,"cuda",FALSE,1000,1,0.32037615776062,0.442003726959229,160
2000,500,"sgd",20,256,"cuda",FALSE,1000,10,0.566220998764038,1.09622836112976,160
2000,500,"sgd",20,256,"cuda",FALSE,1000,20,0.677431344985962,1.88938474655151,160
2000,500,"sgd",20,256,"cuda",TRUE,100,1,0.32780909538269,0.874873638153076,160
2000,500,"sgd",20,256,"cuda",TRUE,100,10,0.467596292495728,1.42467761039734,160
2000,500,"sgd",20,256,"cuda",TRUE,100,20,0.63853645324707,1.98348450660706,160
2000,500,"sgd",20,256,"cuda",TRUE,1000,1,0.318671941757202,0.828590631484985,160
2000,500,"sgd",20,256,"cuda",TRUE,1000,10,0.548144340515137,1.30674886703491,160
2000,500,"sgd",20,256,"cuda",TRUE,1000,20,0.640380859375,1.94583010673523,160
2000,500,"sgd",20,512,"cpu",FALSE,100,1,0.388345956802368,0.421025037765503,80
2000,500,"sgd",20,512,"cpu",FALSE,100,10,0.536343097686768,1.2091600894928,80
2000,500,"sgd",20,512,"cpu",FALSE,100,20,0.784780740737915,1.95922303199768,80
2000,500,"sgd",20,512,"cpu",FALSE,1000,1,0.372838020324707,0.84455680847168,80
2000,500,"sgd",20,512,"cpu",FALSE,1000,10,2.91727924346924,9.7288966178894,80
2000,500,"sgd",20,512,"cpu",FALSE,1000,20,6.08857417106628,14.5771989822388,80
2000,500,"sgd",20,512,"cpu",TRUE,100,1,0.29850435256958,0.547776699066162,80
2000,500,"sgd",20,512,"cpu",TRUE,100,10,0.514622211456299,1.67608737945557,80
2000,500,"sgd",20,512,"cpu",TRUE,100,20,0.844030141830444,3.15274000167847,80
2000,500,"sgd",20,512,"cpu",TRUE,1000,1,0.372802019119263,0.85698938369751,80
2000,500,"sgd",20,512,"cpu",TRUE,1000,10,3.16326522827148,13.40172290802,80
2000,500,"sgd",20,512,"cpu",TRUE,1000,20,6.08831381797791,24.5122380256653,80
2000,500,"sgd",20,512,"cuda",FALSE,100,1,0.345516204833984,0.267757654190063,80
2000,500,"sgd",20,512,"cuda",FALSE,100,10,0.346823215484619,0.562015056610107,80
2000,500,"sgd",20,512,"cuda",FALSE,100,20,0.443360328674316,0.909744501113892,80
2000,500,"sgd",20,512,"cuda",FALSE,1000,1,0.262580394744873,0.271885395050049,80
2000,500,"sgd",20,512,"cuda",FALSE,1000,10,0.347824573516846,0.575565576553345,80
2000,500,"sgd",20,512,"cuda",FALSE,1000,20,0.560983180999756,0.962637186050415,80
2000,500,"sgd",20,512,"cuda",TRUE,100,1,0.270144462585449,0.721840620040894,80
2000,500,"sgd",20,512,"cuda",TRUE,100,10,0.340493440628052,1.05329012870789,80
2000,500,"sgd",20,512,"cuda",TRUE,100,20,0.510766506195068,1.38284969329834,80
2000,500,"sgd",20,512,"cuda",TRUE,1000,1,0.262015342712402,0.672750234603882,80
2000,500,"sgd",20,512,"cuda",TRUE,1000,10,0.344071865081787,1.07285070419312,80
2000,500,"sgd",20,512,"cuda",TRUE,1000,20,0.490492105484009,1.39172101020813,80
2000,500,"sgd",40,16,"cpu",FALSE,100,1,3.39224934577942,11.6025424003601,5000
2000,500,"sgd",40,16,"cpu",FALSE,100,10,8.03534626960754,30.4789695739746,5000
2000,500,"sgd",40,16,"cpu",FALSE,100,20,12.9503848552704,51.3390793800354,5000
2000,500,"sgd",40,16,"cpu",FALSE,1000,1,4.61173629760742,18.0081532001495,5000
2000,500,"sgd",40,16,"cpu",FALSE,1000,10,44.3946180343628,122.401657342911,5000
2000,500,"sgd",40,16,"cpu",FALSE,1000,20,193.869225502014,253.527909994125,5000
2000,500,"sgd",40,16,"cpu",TRUE,100,1,3.37742495536804,11.6115567684174,5000
2000,500,"sgd",40,16,"cpu",TRUE,100,10,7.514564037323,24.0524876117706,5000
2000,500,"sgd",40,16,"cpu",TRUE,100,20,11.85981965065,37.2636759281158,5000
2000,500,"sgd",40,16,"cpu",TRUE,1000,1,4.36483120918274,19.6097731590271,5000
2000,500,"sgd",40,16,"cpu",TRUE,1000,10,41.4058444499969,678.49037194252,5000
2000,500,"sgd",40,16,"cpu",TRUE,1000,20,190.755822181702,878.379608869553,5000
2000,500,"sgd",40,16,"cuda",FALSE,100,1,3.0837676525116,10.5765101909637,5000
2000,500,"sgd",40,16,"cuda",FALSE,100,10,7.77140069007874,29.3999516963959,5000
2000,500,"sgd",40,16,"cuda",FALSE,100,20,13.8921251296997,54.6002805233002,5000
2000,500,"sgd",40,16,"cuda",FALSE,1000,1,3.27764225006104,11.1611840724945,5000
2000,500,"sgd",40,16,"cuda",FALSE,1000,10,8.82482767105103,32.9525315761566,5000
2000,500,"sgd",40,16,"cuda",FALSE,1000,20,15.6040554046631,58.7212955951691,5000
2000,500,"sgd",40,16,"cuda",TRUE,100,1,3.06809139251709,10.6341979503632,5000
2000,500,"sgd",40,16,"cuda",TRUE,100,10,7.20695185661316,22.6099963188171,5000
2000,500,"sgd",40,16,"cuda",TRUE,100,20,12.879604101181,42.9198496341705,5000
2000,500,"sgd",40,16,"cuda",TRUE,1000,1,3.27835702896118,10.7324829101562,5000
2000,500,"sgd",40,16,"cuda",TRUE,1000,10,8.21348929405212,23.3362424373627,5000
2000,500,"sgd",40,16,"cuda",TRUE,1000,20,14.5002131462097,38.637622833252,5000
2000,500,"sgd",40,256,"cpu",FALSE,100,1,0.771438598632812,1.07291841506958,320
2000,500,"sgd",40,256,"cpu",FALSE,100,10,1.46683955192566,3.0980076789856,320
2000,500,"sgd",40,256,"cpu",FALSE,100,20,2.32463574409485,5.15994429588318,320
2000,500,"sgd",40,256,"cpu",FALSE,1000,1,0.913569450378418,2.48643922805786,320
2000,500,"sgd",40,256,"cpu",FALSE,1000,10,8.11608457565308,17.8308415412903,320
2000,500,"sgd",40,256,"cpu",FALSE,1000,20,19.3389320373535,43.8897120952606,320
2000,500,"sgd",40,256,"cpu",TRUE,100,1,0.735331058502197,1.25878357887268,320
2000,500,"sgd",40,256,"cpu",TRUE,100,10,1.54337906837463,3.67796730995178,320
2000,500,"sgd",40,256,"cpu",TRUE,100,20,2.06464338302612,6.36800050735474,320
2000,500,"sgd",40,256,"cpu",TRUE,1000,1,0.925797939300537,2.8022084236145,320
2000,500,"sgd",40,256,"cpu",TRUE,1000,10,7.34924340248108,47.5827248096466,320
2000,500,"sgd",40,256,"cpu",TRUE,1000,20,18.3422548770905,73.0232014656067,320
2000,500,"sgd",40,256,"cuda",FALSE,100,1,0.741863965988159,0.761219501495361,320
2000,500,"sgd",40,256,"cuda",FALSE,100,10,0.972972869873047,2.0448682308197,320
2000,500,"sgd",40,256,"cuda",FALSE,100,20,1.36527037620544,3.47498559951782,320
2000,500,"sgd",40,256,"cuda",FALSE,1000,1,0.739271402359009,0.76945972442627,320
2000,500,"sgd",40,256,"cuda",FALSE,1000,10,0.983372688293457,2.14107465744019,320
2000,500,"sgd",40,256,"cuda",FALSE,1000,20,1.37360644340515,3.71540236473083,320
2000,500,"sgd",40,256,"cuda",TRUE,100,1,0.650885820388794,1.22541737556458,320
2000,500,"sgd",40,256,"cuda",TRUE,100,10,0.938412666320801,2.22152709960938,320
2000,500,"sgd",40,256,"cuda",TRUE,100,20,1.37327098846436,3.14977550506592,320
2000,500,"sgd",40,256,"cuda",TRUE,1000,1,0.643845558166504,1.1497905254364,320
2000,500,"sgd",40,256,"cuda",TRUE,1000,10,0.937071800231934,2.0435528755188,320
2000,500,"sgd",40,256,"cuda",TRUE,1000,20,1.29533934593201,3.127521276474,320
2000,500,"sgd",40,512,"cpu",FALSE,100,1,0.705480813980103,0.704165458679199,160
2000,500,"sgd",40,512,"cpu",FALSE,100,10,1.0755558013916,2.22129726409912,160
2000,500,"sgd",40,512,"cpu",FALSE,100,20,1.5978057384491,3.84583139419556,160
2000,500,"sgd",40,512,"cpu",FALSE,1000,1,0.849458694458008,1.53098464012146,160
2000,500,"sgd",40,512,"cpu",FALSE,1000,10,6.11564683914185,16.6289215087891,160
2000,500,"sgd",40,512,"cpu",FALSE,1000,20,12.3480815887451,27.0963582992554,160
2000,500,"sgd",40,512,"cpu",TRUE,100,1,0.694730758666992,0.80917763710022,160
2000,500,"sgd",40,512,"cpu",TRUE,100,10,1.04567360877991,2.50349712371826,160
2000,500,"sgd",40,512,"cpu",TRUE,100,20,1.64282464981079,4.89473056793213,160
2000,500,"sgd",40,512,"cpu",TRUE,1000,1,0.76547646522522,1.46316599845886,160
2000,500,"sgd",40,512,"cpu",TRUE,1000,10,6.48910188674927,20.7586061954498,160
2000,500,"sgd",40,512,"cpu",TRUE,1000,20,12.0845472812653,39.2419371604919,160
2000,500,"sgd",40,512,"cuda",FALSE,100,1,0.60893177986145,0.43480396270752,160
2000,500,"sgd",40,512,"cuda",FALSE,100,10,0.689177513122559,1.1505126953125,160
2000,500,"sgd",40,512,"cuda",FALSE,100,20,0.97494912147522,1.76683187484741,160
2000,500,"sgd",40,512,"cuda",FALSE,1000,1,0.528726577758789,0.451957941055298,160
2000,500,"sgd",40,512,"cuda",FALSE,1000,10,0.784528017044067,1.10090184211731,160
2000,500,"sgd",40,512,"cuda",FALSE,1000,20,1.00542879104614,1.92142176628113,160
2000,500,"sgd",40,512,"cuda",TRUE,100,1,0.530481100082397,0.908191680908203,160
2000,500,"sgd",40,512,"cuda",TRUE,100,10,0.777534484863281,1.44819569587708,160
2000,500,"sgd",40,512,"cuda",TRUE,100,20,0.853409290313721,2.00012850761414,160
2000,500,"sgd",40,512,"cuda",TRUE,1000,1,0.521876573562622,0.857821464538574,160
2000,500,"sgd",40,512,"cuda",TRUE,1000,10,0.775043725967407,1.34274077415466,160
2000,500,"sgd",40,512,"cuda",TRUE,1000,20,1.00981426239014,1.98583650588989,160
