n,p,epochs,batch_size,device,jit,latent,n_layers,time
2000,250,20,128,cuda,True,100,5,0.6448483467102051
2000,250,20,128,cuda,True,500,1,0.4725522994995117
2000,250,20,128,cuda,True,500,3,0.5543816089630127
2000,250,20,128,cuda,True,500,5,0.6280059814453125
2000,250,20,128,cuda,True,1000,1,0.47449803352355957
2000,250,20,128,cuda,True,1000,3,0.5551481246948242
2000,250,20,128,cuda,True,1000,5,0.6349818706512451
2000,250,20,128,cuda,False,100,1,0.4680337905883789
2000,250,20,128,cuda,False,100,3,0.5477249622344971
2000,250,20,128,cuda,False,100,5,0.6278355121612549
2000,250,20,128,cuda,False,500,1,0.473555326461792
2000,250,20,128,cuda,False,500,3,0.564443826675415
2000,250,20,128,cuda,False,500,5,0.6422455310821533
2000,250,20,128,cuda,False,1000,1,0.472764253616333
2000,250,20,128,cuda,False,1000,3,0.5712118148803711
2000,250,20,128,cuda,False,1000,5,0.6469991207122803
2000,250,20,256,cpu,True,100,1,0.36997389793395996
2000,250,20,256,cpu,True,100,3,0.4941427707672119
2000,250,20,256,cpu,True,100,5,0.5923185348510742
2000,250,20,256,cpu,True,500,1,0.49345922470092773
2000,250,20,256,cpu,True,500,3,0.903355598449707
2000,250,20,256,cpu,True,500,5,1.1188817024230957
2000,250,20,256,cpu,True,1000,1,0.4504964351654053
2000,250,20,256,cpu,True,1000,3,1.333378553390503
2000,250,20,256,cpu,True,1000,5,2.212423324584961
2000,250,20,256,cpu,False,100,1,0.37274861335754395
2000,250,20,256,cpu,False,100,3,0.5475771427154541
2000,250,20,256,cpu,False,100,5,0.5687000751495361
2000,250,20,256,cpu,False,500,1,0.4223189353942871
2000,250,20,256,cpu,False,500,3,0.7621657848358154
2000,250,20,256,cpu,False,500,5,1.1140408515930176
2000,250,20,256,cpu,False,1000,1,0.5305683612823486
2000,250,20,256,cpu,False,1000,3,1.2703375816345215
2000,250,20,256,cpu,False,1000,5,2.2203874588012695
2000,250,20,256,cuda,True,100,1,0.34992408752441406
2000,250,20,256,cuda,True,100,3,0.378312349319458
2000,250,20,256,cuda,True,100,5,0.4151341915130615
2000,250,20,256,cuda,True,500,1,0.3367197513580322
2000,250,20,256,cuda,True,500,3,0.4768223762512207
2000,250,20,256,cuda,True,500,5,0.4150502681732178
2000,250,20,256,cuda,True,1000,1,0.33823633193969727
2000,250,20,256,cuda,True,1000,3,0.37979626655578613
2000,250,20,256,cuda,True,1000,5,0.41602063179016113
2000,250,20,256,cuda,False,100,1,0.33710646629333496
2000,250,20,256,cuda,False,100,3,0.4663856029510498
2000,250,20,256,cuda,False,100,5,0.41675281524658203
2000,250,20,256,cuda,False,500,1,0.33553314208984375
2000,250,20,256,cuda,False,500,3,0.38386106491088867
2000,250,20,256,cuda,False,500,5,0.4188523292541504
2000,250,20,256,cuda,False,1000,1,0.34065961837768555
2000,250,20,256,cuda,False,1000,3,0.4530832767486572
2000,250,20,256,cuda,False,1000,5,0.42452073097229004
2000,500,20,16,cpu,True,100,1,2.600264310836792
2000,500,20,16,cpu,True,100,3,3.291407346725464
2000,500,20,16,cpu,True,100,5,4.495715379714966
