"","n","p","optimizer","epochs","batch_size","device","type","latent","n_layers","init_max_memory","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","loss"
"11",2000,1000,"sgd",20,32,"sgd","torchoptx",1000,4,FALSE,2.23385739326477,1.42029786109924,1.82859873771667,1.82227659225464,1.1610541343689,1.07163834571838,1.15583872795105,1.02689456939697,0.996272563934326,1.62969589233398,1.42453694343567,0.985171318054199,0.991816759109497,1.17989492416382,0.833976745605469,0.790333986282349,0.712401866912842,0.683124542236328,0.712451457977295,0.832448720932007,766.943237304688
"12",2000,1000,"adam",20,32,"sgd","torchoptx",1000,4,FALSE,2.59026193618774,1.63647961616516,1.54369354248047,1.87048816680908,1.59037017822266,1.28963947296143,1.77559685707092,1.91758942604065,1.66732668876648,1.40162897109985,1.64325571060181,1.55771279335022,1.443284034729,1.31902146339417,1.25384259223938,1.28068709373474,1.44542002677917,1.18944692611694,1.30254793167114,1.37881183624268,81.7146224975586
"13",2000,1000,"sgd",20,32,"cuda","ignite",1000,4,FALSE,0.958370685577393,0.10706353187561,0.107054710388184,0.120700359344482,0.104793548583984,0.107059001922607,0.102838754653931,0.107764482498169,0.107271194458008,0.114648580551147,0.130148649215698,0.110540151596069,0.109418392181396,0.110716819763184,0.109116315841675,0.107537269592285,0.123651742935181,0.108368158340454,0.11140251159668,0.108118772506714,55.3837928771973
"14",2000,1000,"adam",20,32,"cuda","ignite",1000,4,FALSE,1.00257039070129,0.142863035202026,0.140029907226562,0.156369924545288,0.145950078964233,0.142260789871216,0.143768548965454,0.14557147026062,0.141310930252075,0.143118143081665,0.152526617050171,0.143502473831177,0.142621278762817,0.141765117645264,0.13915491104126,0.140185356140137,0.171274662017822,0.152196407318115,0.147117614746094,0.1471848487854,90.5094299316406
"15",2000,1000,"sgd",20,32,"sgd","ignite",1000,4,FALSE,1.66789507865906,1.28615522384644,1.47467708587646,0.535514354705811,0.489779710769653,0.554986953735352,0.517525434494019,0.561586380004883,0.520941972732544,0.488048553466797,0.541884899139404,0.501455545425415,0.506044387817383,0.546025991439819,0.54687237739563,0.503689765930176,0.505399942398071,0.538669109344482,0.515108585357666,0.499066591262817,766.943237304688
"16",2000,1000,"adam",20,32,"sgd","ignite",1000,4,FALSE,2.66977620124817,2.11759686470032,1.00734543800354,0.889448642730713,0.812026023864746,0.816878318786621,0.787552118301392,0.776875972747803,0.788716793060303,0.777702808380127,0.819157361984253,0.912546873092651,0.904173612594604,0.924037933349609,0.928601026535034,0.903733015060425,0.899951934814453,0.901281356811523,0.868964672088623,0.870776414871216,81.7146224975586
"17",2000,1000,"sgd",20,32,"cuda","torchoptx",1000,8,FALSE,0.458260536193848,0.325255632400513,0.303793668746948,0.315285682678223,0.322824478149414,0.304417133331299,0.341510772705078,0.315154790878296,0.328593730926514,0.334571599960327,0.348273038864136,0.35420298576355,0.337999582290649,0.356503009796143,0.356480121612549,0.355690002441406,0.352074384689331,0.324827194213867,0.339168787002563,0.332202672958374,695.156494140625
"18",2000,1000,"adam",20,32,"cuda","torchoptx",1000,8,FALSE,0.49372673034668,0.398124217987061,0.369566679000854,0.380425453186035,0.378316402435303,0.389683246612549,0.430327415466309,0.396622657775879,0.410240888595581,0.401181697845459,0.414193630218506,0.415572643280029,0.40033483505249,0.410228967666626,0.383636236190796,0.362589120864868,0.351419925689697,0.363408088684082,0.382692098617554,0.375945329666138,91.0232543945312
"19",2000,1000,"sgd",20,32,"sgd","torchoptx",1000,8,FALSE,3.19747734069824,3.05817246437073,2.57115316390991,3.05276417732239,3.02153348922729,2.77304601669312,2.37554502487183,2.11767959594727,1.99349188804626,1.74769496917725,1.61649560928345,1.46326684951782,1.3017041683197,1.35592198371887,1.35261607170105,1.30889582633972,1.58599805831909,2.42125582695007,2.07702708244324,2.40144753456116,1079.43200683594
"20",2000,1000,"adam",20,32,"sgd","torchoptx",1000,8,FALSE,4.60050988197327,3.14631676673889,2.92857527732849,2.9425938129425,3.09865379333496,2.84542202949524,2.97338724136353,2.28225612640381,2.66675138473511,2.49169278144836,2.75580883026123,2.92748641967773,3.00490474700928,3.31633305549622,3.04709982872009,2.90299654006958,3.21438765525818,2.87581396102905,2.71363401412964,3.27501559257507,237.604476928711
"21",2000,1000,"sgd",20,32,"cuda","ignite",1000,8,FALSE,1.0378634929657,0.131185054779053,0.162403583526611,0.140631914138794,0.138201475143433,0.130835771560669,0.128423452377319,0.130139112472534,0.139041185379028,0.138570785522461,0.13057017326355,0.131468057632446,0.130284070968628,0.126807451248169,0.126591444015503,0.158142328262329,0.135438680648804,0.132301092147827,0.129890203475952,0.127948522567749,695.156677246094
"22",2000,1000,"adam",20,32,"cuda","ignite",1000,8,FALSE,1.10237288475037,0.187079191207886,0.192865371704102,0.187369108200073,0.180991172790527,0.184224605560303,0.18591570854187,0.183912992477417,0.193915367126465,0.190356492996216,0.196957111358643,0.191357612609863,0.191349506378174,0.193691730499268,0.187422752380371,0.200662612915039,0.180542230606079,0.18059229850769,0.177524328231812,0.176039457321167,21.653564453125
"23",2000,1000,"sgd",20,32,"sgd","ignite",1000,8,FALSE,2.71873450279236,3.9606602191925,1.25351238250732,1.56510639190674,2.14461898803711,1.541672706604,1.06213593482971,1.07803773880005,1.06779432296753,1.17073607444763,1.19283676147461,1.06549906730652,1.04549765586853,0.97714900970459,1.07720851898193,1.05656909942627,1.07699418067932,1.07259178161621,1.17147636413574,1.13003706932068,1079.43200683594
"24",2000,1000,"adam",20,32,"sgd","ignite",1000,8,FALSE,4.14913654327393,3.41971015930176,1.76619338989258,1.81009483337402,1.7476749420166,1.67603945732117,1.67130899429321,1.69253182411194,1.74145102500916,1.6557629108429,1.82633686065674,2.00690126419067,2.06593036651611,2.00250673294067,1.99144101142883,1.89934372901917,1.92856597900391,1.93647480010986,1.9694652557373,1.93324303627014,237.604476928711
"25",2000,1000,"sgd",20,32,"cuda","torchoptx",1000,16,FALSE,0.623042821884155,0.488961219787598,0.489759206771851,0.508347034454346,0.488951921463013,0.503679752349854,0.497444152832031,0.495672225952148,0.50433874130249,0.499089241027832,0.51716160774231,0.521422624588013,0.507617712020874,0.513967275619507,0.507477998733521,0.507757902145386,0.508605003356934,0.655502796173096,0.50145697593689,0.484404802322388,695.126770019531
"26",2000,1000,"adam",20,32,"cuda","torchoptx",1000,16,FALSE,0.775566577911377,0.599862098693848,0.604890584945679,0.630375862121582,0.598219871520996,0.613115310668945,0.613956928253174,0.608396053314209,0.604636907577515,0.618035316467285,0.623441934585571,0.625418901443481,0.627706289291382,0.61564302444458,0.62643027305603,0.622323274612427,0.630783557891846,0.814125061035156,0.623146295547485,0.586953401565552,167.681350708008
