"","n","p","optimizer","epochs","batch_size","device","torchoptx","jit","latent","n_layers","init_max_memory","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","loss"
"11",2000,1000,"sgd",20,32,"cuda",TRUE,FALSE,1000,4,FALSE,0.245399951934814,0.21843433380127,0.218747615814209,0.217639446258545,0.229486465454102,0.219826459884644,0.219120740890503,0.220522880554199,0.217964887619019,0.239006280899048,0.220135688781738,0.219764232635498,0.223495483398438,0.222012996673584,0.230918169021606,0.224579811096191,0.223804950714111,0.226715803146362,0.224614143371582,0.222346067428589,609.470703125
"12",2000,1000,"adam",20,32,"cuda",TRUE,FALSE,1000,4,FALSE,0.282741785049438,0.24847149848938,0.24907660484314,0.249356269836426,0.259872913360596,0.250033855438232,0.249654293060303,0.250198364257812,0.268836975097656,0.250584840774536,0.250239610671997,0.253281831741333,0.249323606491089,0.250566482543945,0.250471591949463,0.263101577758789,0.254958152770996,0.254885196685791,0.257535219192505,0.255168437957764,93.2423095703125
"13",2000,1000,"sgd",20,32,"cpu",FALSE,FALSE,1000,4,FALSE,1.06065607070923,0.762681007385254,0.762417554855347,0.798107385635376,0.828431606292725,0.774469137191772,0.798212289810181,0.770221471786499,0.849257230758667,0.776834487915039,0.772698163986206,0.771064043045044,0.773313283920288,0.784889221191406,0.775198936462402,0.775722980499268,0.861617088317871,0.969785690307617,0.734471321105957,0.742506265640259,766.943237304688
"14",2000,1000,"adam",20,32,"cpu",FALSE,FALSE,1000,4,FALSE,1.74676609039307,1.54338788986206,1.53020858764648,1.56744146347046,1.53024387359619,1.56556701660156,1.73975777626038,1.49866366386414,1.70133399963379,1.52783274650574,1.43858504295349,1.55316400527954,1.60713195800781,1.67427062988281,1.63256764411926,1.59470701217651,1.63287019729614,1.62662053108215,1.62717056274414,1.74266648292542,81.7146224975586
"15",2000,1000,"sgd",20,32,"cuda",FALSE,FALSE,1000,4,FALSE,0.333063125610352,0.280579566955566,0.283035516738892,0.293207883834839,0.279465675354004,0.28024959564209,0.287261724472046,0.280778646469116,0.279230833053589,0.289404630661011,0.28690505027771,0.285754442214966,0.287864208221436,0.286521911621094,0.292583227157593,0.28878116607666,0.36567234992981,0.271940469741821,0.276233434677124,0.27238655090332,609.470703125
"16",2000,1000,"adam",20,32,"cuda",FALSE,FALSE,1000,4,FALSE,0.69625186920166,0.627112627029419,0.61602783203125,0.647664308547974,0.637935876846313,0.637619018554688,0.723359107971191,0.610170364379883,0.602752923965454,0.635601282119751,0.621389389038086,0.613096475601196,0.629824638366699,0.631375551223755,0.635873794555664,0.644588232040405,0.669399976730347,0.657162427902222,0.659633636474609,0.654040098190308,93.2423095703125
"17",2000,1000,"sgd",20,32,"cpu",TRUE,FALSE,1000,8,FALSE,2.71560192108154,1.73149061203003,2.5279700756073,2.61500120162964,1.75808906555176,1.15115833282471,1.19400215148926,1.28697228431702,1.93320322036743,1.18407392501831,1.15200972557068,1.11200070381165,1.1394317150116,1.41010141372681,2.36222338676453,2.21510148048401,1.71799468994141,1.45521807670593,1.13556504249573,1.68055415153503,1079.43200683594
"18",2000,1000,"adam",20,32,"cpu",TRUE,FALSE,1000,8,FALSE,3.8107430934906,2.44694113731384,3.3712465763092,3.37871766090393,2.57079672813416,2.50125527381897,3.0101490020752,3.74317765235901,2.39750981330872,2.7766489982605,2.66211295127869,4.34007978439331,2.81914401054382,2.43118739128113,2.54407334327698,3.38337874412537,2.98200440406799,3.71512198448181,3.28256177902222,2.81024122238159,237.604476928711
"19",2000,1000,"sgd",20,32,"cuda",TRUE,FALSE,1000,8,FALSE,0.355193853378296,0.336222648620605,0.338250875473022,0.330710649490356,0.337536334991455,0.329910755157471,0.333577156066895,0.336289644241333,0.345181465148926,0.339881420135498,0.339963674545288,0.349600791931152,0.338538885116577,0.353904008865356,0.352165937423706,0.418723344802856,0.324406147003174,0.322482585906982,0.33167290687561,0.325125932693481,695.156494140625
"20",2000,1000,"adam",20,32,"cuda",TRUE,FALSE,1000,8,FALSE,0.40022611618042,0.380423069000244,0.388619661331177,0.381592988967896,0.379903793334961,0.383110761642456,0.37848424911499,0.390594482421875,0.384818077087402,0.40130877494812,0.386590957641602,0.389344215393066,0.395890951156616,0.398220300674438,0.417490005493164,0.498641729354858,0.39652419090271,0.399338722229004,0.394815683364868,0.401557445526123,91.0232543945312
